day	hour	qqq	value
6	2	Adam Taggart;Sergio Aguero	20
6	3	Jean Beausejour;Jose Rojas;Mario Gotze;Panagiotis Glykos;Oscar Duarte	50
6	4	Henri Bedimo;Lorenzo Insigne;Lukas Podolski	30
6	5	Alexander Dominguez;Zvjezdan Misimovi?	20
6	6	Julian Green	10
6	7		0
6	8	Javier Mascherano;Maxi Pereira	20
6	9	Masoud Shojaei;Miroslav Klose;Sokratis Papastathopoulos;Wesley Sneijder;Yoshito ?kubo	50
6	10	Steve von Bergen;Vasilis Torosidis	20
6	11		0
6	12	Eugene Galekovi?;Mauricio Isla	20
6	13	Andreas Samaris;Keisuke Honda	20
6	14	Ben Halloran;Joao Rojas;Kostas Manolas	30
6	15	Sayouba Mande	10
6	16	Fernando Muslera	10
6	17	Alan Dzagoev;Jordan Henderson;Nick Rimando	30
6	18	Islam Slimani;Shusaku Nishikawa	20
6	19		0
6	20	Asmir Begovi?;Aurelien Chedjou;Frank Lampard;Sead Kola?inac;Vasili Berezutski	50
6	21	Cheick Tiote;Faryd Mondragon;Kostas Katsouranis	30
6	22	Cristopher Toselli	10
6	23		0
6	24	Harrison Afful;Lionel Messi	20
6	25	Miguel Layun	10
6	26	Joel Campbell	10
6	27	Gokhan Inler;Hugo Campagnaro;Hwang Seok-ho;Jordy Clasie;Jose Holebas;Matthew ?piranovi?	60
6	28	Kevin De Bruyne	10
6	29	Jason Davidson	10
6	30	Fredy Guarin	10
7	1		0
7	2	Lee Chung-yong	10
7	3	James Troisi	10
7	4		0
7	5	Ashkan Dejagah;Dejan Lovren	20
7	6		0
7	7	Alberto Aquilani	10
7	8	Juan Carlos Paredes;Kwak Tae-hwi;Son Heung-min	30
7	9	DeAndre Yedlin	10
7	10	Park Chu-young	10
7	11	Alexander Mejia;Geoff Cameron;Orestis Karnezis	30
7	12	Antonio Cassano;Ghasem Haddadifar;James Rodriguez;Luke Shaw	40
7	13	Guillermo Ochoa;Jonathan Mensah	20
7	14	Maksim Kanunnikov;Sergei Ignashevich	20
7	15	Peter Odemwingie	10
7	16	Azubuike Egwuekwe;Michael Umana;Mousa Dembele;Sergio Busquets	40
7	17		0
7	18	Carlo Costly;Eugenio Mena	20
7	19	Aleksandr Samedov;Kevin Groskreutz	20
7	20	Lucas Digne	10
7	21	Johnny Acosta;Marco Fabian	20
7	22	Daryl Janmaat;Dirk Kuyt	20
7	23	Alessio Cerci;Luiz Gustavo;Walter Gargano	30
7	24	Daniele De Rossi	10
7	25	Carlos Carbonero;Hulk;Paulinho;Wakaso Mubarak	40
7	26	Agustin Orion;Maicon;Oswaldo Minda;Panagiotis Kone	40
7	27		0
7	28	Bailey Wright;Mathieu Debuchy;Pedro	30
7	29	Oleg Shatov;Osman Chavez;Wilson Palacios	30
7	30	Mariano Andujar;Mario Martinez;Rahman Ahmadi	30
7	31	Michael Bradley	10
8	1	Bastian Schweinsteiger;Esteban Paredes	20
8	2	Helder Postiga	10
8	3	Gary Medel;Mile Jedinak	20
8	4	Antonio Valencia;Izet Hajrovi?;Mark Milligan	30
8	5	Laurent Ciman;Salomon Kalou	20
8	6	Robin van Persie;Roman Weidenfeller;Simon Mignolet;Vedad Ibi?evi?	40
8	7		0
8	8	Abel Hernandez;Josip Drmi?;Joel Matip	30
8	9	Willian	10
8	10		0
8	11	Alireza Jahanbakhsh;Sammy Bossut;Walter Ayovi	30
8	12	Hong Jeong-ho;Klaas-Jan Huntelaar;Mario Balotelli	30
8	13	Alex Wilkinson;Randall Brenes	20
8	14	Giorgio Chiellini	10
8	15	Alex Oxlade-Chamberlain;Ryan McGowan	20
8	16	Anel Had?i?;Godfrey Oboabona;Moussa Sissoko	30
8	17	Edgar Salli;Phil Jagielka	20
